,SUBZONE_N,102,61,104,52,122,19,119,3,93,103,1,95,22,23,35,111,76,101,4
103,SUNSET WAY,21969.0,29181.0,19147.0,13381.0,22381.0,14678.0,11469.0,12856.0,17034.0,23209.0,22986.0,1948.0,15744.0,15617.0,17484.0,19936.0,25844.0,5825.0,7771.0
104,CLEMENTI CENTRAL,20931.0,28143.0,21113.0,21093.0,21343.0,16804.0,10431.0,11818.0,19280.0,19401.0,21948.0,253.0,25535.0,25560.0,19080.0,22577.0,24806.0,6679.0,6733.0
105,CLEMENTI NORTH,20778.0,27990.0,20960.0,20940.0,21190.0,17481.0,10278.0,11665.0,19127.0,19248.0,21795.0,755.0,15671.0,15544.0,18927.0,22424.0,24653.0,7355.0,6580.0
106,LOWER SELETAR,,3640.0,,,,,,,,,,,,,,,,,
107,TANJONG RHU,5307.0,24164.0,4278.0,11468.0,28243.0,19136.0,26647.0,6325.0,5323.0,7094.0,32215.0,17274.0,15938.0,15963.0,10816.0,9256.0,8584.0,18757.0,12227.0
108,SAUJANA,21882.0,22709.0,23346.0,33581.0,15909.0,25196.0,18169.0,26591.0,29814.0,27911.0,16515.0,15831.0,30021.0,30046.0,26250.0,26513.0,39579.0,13429.0,21506.0
109,BUKIT PANJANG,20342.0,21062.0,22892.0,17117.0,14262.0,23549.0,16522.0,20388.0,28058.0,26155.0,14868.0,14184.0,28374.0,28399.0,22679.0,23568.0,26585.0,11643.0,19859.0
110,SENJA,22708.0,21629.0,22964.0,17189.0,14829.0,20375.0,17089.0,20460.0,28130.0,26227.0,10358.0,12179.0,28941.0,28966.0,22751.0,23640.0,26657.0,11805.0,20426.0
111,FARRER COURT,15354.0,19802.0,16240.0,7944.0,23881.0,10537.0,15860.0,11096.0,15257.0,17028.0,22600.0,6486.0,11576.0,11601.0,13442.0,13296.0,21144.0,378.0,4079.0
112,FAJAR,20841.0,22678.0,22305.0,33550.0,15878.0,25165.0,18138.0,26560.0,29783.0,27880.0,16484.0,15800.0,29990.0,30015.0,34701.0,25176.0,39548.0,13398.0,21475.0
113,EVERTON PARK,11696.0,22919.0,9452.0,10223.0,31187.0,14508.0,20276.0,1401.0,9478.0,7180.0,31792.0,10902.0,14693.0,14718.0,12728.0,12991.0,15571.0,7606.0,5122.0
